,Duration,Pulse,Maxpulse,Calories
0,60,110,130,409.1
1,60,117,145,479.0
2,60,103,135,340.0
3,45,109,175,282.4
4,45,117,148,406.0
5,60,102,127,300.0
6,60,110,136,374.0
7,45,104,134,253.3
8,30,109,133,195.1
9,60,98,124,269.0
10,60,103,147,329.3
11,60,100,120,250.7
12,60,106,128,345.3
13,60,104,132,379.3
14,60,98,123,275.0
15,60,98,120,215.2
16,60,100,120,300.0
17,45,90,112,
18,60,103,123,323.0
19,45,97,125,243.0
20,60,108,131,364.2
21,45,100,119,282.0
22,60,130,101,300.0
23,45,105,132,246.0
24,60,102,126,334.5
25,60,100,120,250.0
26,60,92,118,241.0
27,60,103,132,
28,60,100,132,280.0
29,60,102,129,380.3
30,60,92,115,243.0
31,45,90,112,180.1
32,60,101,124,299.0
33,60,93,113,223.0
34,60,107,136,361.0
35,60,114,140,415.0
36,60,102,127,300.0
37,60,100,120,300.0
38,60,100,120,300.0
39,45,104,129,266.0
40,45,90,112,180.1
41,60,98,126,286.0
42,60,100,122,329.4
43,60,111,138,400.0
44,60,111,131,397.0
45,60,99,119,273.0
46,60,109,153,387.6
47,45,111,136,300.0
48,45,108,129,298.0
49,60,111,139,397.6
50,60,107,136,380.2
