,Duration,Pulse,Maxpulse,Calories
101,90,90,110,500.0
102,90,90,100,500.0
103,90,90,100,500.4
104,30,92,108,92.7
105,30,93,128,124.0
106,180,90,120,800.3
107,30,90,120,86.2
108,90,90,120,500.3
109,210,137,184,1860.4
110,60,102,124,325.2
111,45,107,124,275.0
112,15,124,139,124.2
113,45,100,120,225.3
114,60,108,131,367.6
115,60,108,151,351.7
116,60,116,141,443.0
117,60,97,122,277.4
118,60,105,125,
119,60,103,124,332.7
120,30,112,137,193.9
121,45,100,120,100.7
122,60,119,169,336.7
123,60,107,127,344.9
124,60,111,151,368.5
125,60,98,122,271.0
126,60,97,124,275.3
127,60,109,127,382.0
128,90,99,125,466.4
129,60,114,151,384.0
130,60,104,134,342.5
131,60,107,138,357.5
132,60,103,133,335.0
133,60,106,132,327.5
134,60,103,136,339.0
135,20,136,156,189.0
136,45,117,143,317.7
137,45,115,137,318.0
138,45,113,138,308.0
139,20,141,162,222.4
140,60,108,135,390.0
141,60,97,127,
142,45,100,120,250.4
143,45,122,149,335.4
144,60,136,170,470.2
145,45,106,126,270.8
146,60,107,136,400.0
147,60,112,146,361.9
148,30,103,127,185.0
149,60,110,150,409.4
150,60,106,134,343.0
151,60,109,129,353.2
152,60,109,138,374.0
153,30,150,167,275.8
154,60,105,128,328.0
155,60,111,151,368.5
156,60,97,131,270.4
157,60,100,120,270.4
158,60,114,150,382.8
159,30,80,120,240.9
160,30,85,120,250.4
161,45,90,130,260.4
162,45,95,130,270.0
163,45,100,140,280.9
164,60,105,140,290.8
165,60,110,145,300.0
166,60,115,145,310.2
167,75,120,150,320.4
168,75,125,150,330.4
